Index,Open,High,Low,Close,Volume,Adjusted
2014-01-01,9.43,9.43,9.43,9.43,0,8.85
2014-01-02,9.44,9.45,9.29,9.33,69821000,8.76
2014-01-03,9.28,9.3,9.08,9.14,88351900,8.58
2014-01-06,9.31,9.34,9.13,9.19,117267700,8.62
2014-01-07,9.17,9.21,9.01,9.14,72150900,8.58
2014-01-08,9.14,9.32,9.11,9.2,78603400,8.63
2014-01-09,9.2,9.44,9.16,9.29,109976700,8.72
2014-01-10,9.28,9.45,9.24,9.41,93379900,8.83
2014-01-13,9.44,9.47,9.33,9.39,65935300,8.81
2014-01-14,9.4,9.43,9.25,9.4,79710200,8.82
2014-01-15,9.39,9.4,9.16,9.23,77606600,8.66
2014-01-16,9.22,9.26,9.17,9.18,67204700,8.62
2014-01-17,9.17,9.17,9.07,9.12,66047400,8.56
2014-01-20,9.1,9.13,9.04,9.07,42094700,8.51
2014-01-21,9.1,9.26,9.09,9.16,47596000,8.6
2014-01-22,9.18,9.38,9.17,9.34,91387200,8.77
2014-01-23,9.31,9.34,9.21,9.22,63055400,8.65
2014-01-24,9.17,9.32,9.14,9.23,70757200,8.66
2014-01-27,9.19,9.2,9.1,9.12,69858600,8.56
2014-01-28,9.12,9.29,9.12,9.19,57333600,8.62
2014-01-29,9.24,9.31,9.2,9.29,71042800,8.72
2014-01-30,9.27,9.3,9.15,9.17,52508900,8.61
2014-01-31,9.17,9.17,9.17,9.17,0,8.61
2014-02-03,9.17,9.17,9.17,9.17,0,8.61
2014-02-05,9.17,9.17,9.17,9.17,0,8.61
2014-02-06,9.17,9.17,9.17,9.17,0,8.61
2014-02-07,9.13,9.18,9.07,9.18,51136900,8.62
2014-02-10,9.18,9.3,9.16,9.29,91573100,8.72
2014-02-11,9.31,9.68,9.22,9.54,212392400,8.95
2014-02-12,9.5,9.64,9.44,9.5,106449300,8.92
2014-02-13,9.48,9.84,9.41,9.6,197765100,9.01
2014-02-14,9.6,9.63,9.51,9.59,80503200,9
2014-02-17,9.62,9.66,9.48,9.52,107916200,8.93
2014-02-18,9.51,9.51,9.23,9.26,131972200,8.69
2014-02-19,9.25,9.57,9.2,9.49,150729700,8.91
2014-02-20,9.53,9.73,9.36,9.39,144607300,8.81
2014-02-21,9.39,9.43,9.22,9.29,81919100,8.72
2014-02-24,9.2,9.21,8.97,9.01,135269200,8.46
2014-02-25,9.01,9.08,8.81,8.83,112988100,8.29
2014-02-26,8.81,8.89,8.77,8.85,79811000,8.31
2014-02-27,8.85,9.03,8.81,8.94,112556000,8.39
2014-02-28,8.9,9.01,8.8,8.91,75427800,8.36
2014-03-03,8.91,8.92,8.81,8.85,81389900,8.31
2014-03-04,8.84,8.91,8.68,8.87,113473800,8.32
2014-03-05,8.86,8.88,8.68,8.7,66776200,8.17
2014-03-06,8.7,8.86,8.62,8.8,105221600,8.26
2014-03-07,8.8,8.91,8.71,8.73,85996600,8.19
2014-03-10,8.67,8.71,8.42,8.44,100335900,7.92
2014-03-11,8.43,8.53,8.39,8.46,71119500,7.94
2014-03-12,8.47,8.67,8.39,8.56,110468600,8.03
2014-03-13,8.76,9.13,8.68,8.84,198115800,8.3
2014-03-14,8.78,9.03,8.72,8.99,179769200,8.44
2014-03-17,8.99,8.99,8.99,8.99,0,8.44
2014-03-18,9.22,9.23,8.87,8.89,167965300,8.34
2014-03-19,8.85,9.07,8.76,9.05,93838200,8.49
2014-03-20,8.96,9.2,8.95,8.99,166058700,8.44
2014-03-21,8.98,9.89,8.97,9.89,577730100,9.28
2014-03-24,9.89,10.01,9.74,9.8,550938100,9.2
2014-03-25,9.76,9.86,9.68,9.75,225324400,9.15
2014-03-26,9.78,9.83,9.51,9.58,188654700,8.99
2014-03-27,9.53,9.94,9.48,9.69,310183400,9.09
2014-03-28,9.64,9.92,9.6,9.67,235609600,9.08
2014-03-31,9.7,9.77,9.57,9.72,117957900,9.12
2014-04-01,9.66,9.84,9.63,9.73,121142200,9.13
2014-04-02,9.75,10.04,9.71,9.94,221487000,9.33
2014-04-03,9.94,10,9.64,9.67,202589100,9.08
2014-04-04,9.62,9.75,9.57,9.73,103710100,9.13
2014-04-07,9.73,9.73,9.73,9.73,0,9.13
2014-04-08,9.71,10.31,9.71,10.14,389948100,9.52
2014-04-09,10.12,10.19,10.03,10.1,166971700,9.48
2014-04-10,10.14,10.41,10.03,10.23,251774100,9.6
2014-04-11,10.18,10.32,10.14,10.25,187981800,9.62
2014-04-14,10.25,10.29,10.09,10.12,133566600,9.5
2014-04-15,10.07,10.08,9.82,9.85,176166100,9.24
2014-04-16,9.82,9.97,9.81,9.9,100765500,9.29
2014-04-17,9.93,9.97,9.74,9.76,147878400,9.16
2014-04-18,9.73,9.81,9.63,9.78,115394400,9.18
2014-04-21,9.74,9.96,9.68,9.71,131392300,9.11
2014-04-22,9.68,9.92,9.66,9.9,141231400,9.29
2014-04-23,9.85,10,9.83,9.88,136419500,9.27
2014-04-24,9.9,9.98,9.85,9.87,82309400,9.26
2014-04-25,9.92,10.06,9.82,9.84,180573500,9.23
2014-04-28,9.82,9.87,9.65,9.67,123425100,9.08
